Request_ID,Request_Date,Request_Type,Priority,Customer_Segment,Channel,Region,Team,Agent_ID,SLA_Hours,Queue_Hours,Processing_Hours,Rework_Hours,Rework_Flag,Escalation_Flag,TAT_Hours,SLA_Status
REQ-00001,2026-02-27,Identity Verification,Low,Enterprise,Portal,East,Gamma,G08,48,5.79,4.76,0.0,0,0,10.55,Within SLA
REQ-00002,2026-05-10,Identity Verification,Low,Enterprise,Partner,North,Beta,B08,48,1.59,5.59,0.0,0,0,7.18,Within SLA
REQ-00003,2026-06-28,Address Verification,Medium,SMB,Email,West,Alpha,A06,24,10.92,5.23,0.0,0,0,16.15,Within SLA
REQ-00004,2026-06-04,Identity Verification,Medium,Mid-Market,Portal,East,Gamma,G12,24,2.6,4.16,0.0,0,0,6.76,Within SLA
REQ-00005,2026-05-28,Identity Verification,Medium,Enterprise,API,South,Omega,O12,24,4.88,2.56,0.0,0,0,7.44,Within SLA
REQ-00006,2026-03-13,Identity Verification,High,SMB,Email,South,Alpha,A13,12,7.08,2.93,0.0,0,0,10.02,Within SLA
REQ-00007,2026-06-12,Business Verification,High,SMB,Partner,East,Alpha,A20,12,1.94,5.49,0.0,0,0,7.43,Within SLA
REQ-00008,2026-06-25,Document Review,Critical,SMB,API,West,Omega,O08,6,2.49,8.63,0.0,0,0,11.12,Breach
REQ-00009,2026-05-26,Document Review,Medium,Enterprise,Partner,East,Alpha,A07,24,2.68,7.28,0.0,0,0,9.96,Within SLA
REQ-00010,2026-05-24,Address Verification,Low,Mid-Market,Partner,South,Beta,B08,48,2.55,5.57,0.0,0,0,8.13,Within SLA
REQ-00011,2026-05-07,Business Verification,Critical,SMB,API,North,Beta,B17,6,2.55,17.21,4.47,1,1,24.23,Breach
REQ-00012,2026-06-02,Address Verification,Medium,Enterprise,Portal,West,Delta,D13,24,7.11,2.61,0.0,0,0,9.72,Within SLA
REQ-00013,2026-03-17,KYC Refresh,High,Enterprise,Email,North,Gamma,G04,12,19.4,9.11,0.0,0,0,28.51,Breach
REQ-00014,2026-06-05,KYC Refresh,High,SMB,Portal,South,Gamma,G17,12,6.75,6.37,0.0,0,1,13.12,Breach
REQ-00015,2026-03-03,Address Verification,Low,SMB,Portal,East,Gamma,G10,48,1.76,2.3,6.8,1,0,10.86,Within SLA
REQ-00016,2026-02-02,Identity Verification,Critical,SMB,Email,East,Omega,O05,6,1.24,3.67,0.0,0,0,4.92,Within SLA
REQ-00017,2026-04-13,Business Verification,High,Mid-Market,Partner,West,Beta,B10,12,5.16,7.87,0.0,0,0,13.03,Breach
REQ-00018,2026-05-31,Business Verification,Medium,SMB,Portal,West,Gamma,G01,24,6.12,12.28,0.0,0,0,18.4,Within SLA
REQ-00019,2026-01-19,Business Verification,Low,Mid-Market,API,North,Alpha,A11,48,2.07,8.08,0.0,0,0,10.14,Within SLA
REQ-00020,2026-04-15,KYC Refresh,Medium,Mid-Market,Email,East,Beta,B16,24,1.04,8.82,0.0,0,0,9.85,Within SLA
REQ-00021,2026-01-16,Address Verification,Medium,SMB,API,North,Alpha,A04,24,1.6,2.63,0.0,0,0,4.23,Within SLA
REQ-00022,2026-02-16,Business Verification,Medium,SMB,Partner,West,Beta,B14,24,7.16,9.98,0.0,0,0,17.15,Within SLA
REQ-00023,2026-01-24,Identity Verification,High,SMB,Partner,East,Omega,O01,12,5.29,3.99,0.0,0,0,9.28,Within SLA
REQ-00024,2026-02-12,Address Verification,Medium,Mid-Market,Partner,South,Delta,D02,24,10.44,4.5,0.0,0,0,14.94,Within SLA
REQ-00025,2026-02-09,Address Verification,High,SMB,Portal,South,Omega,O16,12,0.19,5.33,0.0,0,0,5.53,Within SLA
REQ-00026,2026-05-16,Identity Verification,Low,SMB,API,West,Delta,D17,48,1.15,7.2,0.0,0,0,8.35,Within SLA
